1316,66
1415,84
1506,41
1647,83
2068,88
2291,32
2374,41
2400,63
2406,61
2402,73
2375,63
2378,22
2360,82
2320,24
2250,36
2329,86
2196,78
2105,31
2111,62
2062,60
1961,20
1719,84
1559,53
1358,49
1055,60
1007,64
793,35
805,78
767,56
810,83
879,54
844,43
974,27
849,88
1002,31
1091,35
1210,91
1076,98
1270,18
1393,09
1310,81
1395,00
1402,78
1419,65
1484,71
1640,38
1462,69
1705,58
1826,15
1627,42
2134,21
2145,44
2164,30
2299,78
2336,10
2321,62
2336,21
2231,44
2287,77
2354,89
2353,45
2285,06
2322,27
2303,93
2303,39
2299,65
2312,76
2177,68
2272,23
2318,31
2290,67
2126,17
2084,74
2059,36
2032,46
2115,94
2235,39
2364,21
2402,98
2409,95
2407,22
2403,71
2408,07
2396,92
2398,71
2398,13
2232,83
2025,10
1984,73
1936,29
1900,54
1772,79
1595,14
1424,70
1280,56
1285,29
1472,77
1815,12
1921,51
1974,84
1984,03
2043,63
1981,99
2072,51
2178,96
2113,30
2078,73
2141,53
2254,39
2211,99
2267,61
2299,83
2322,54
2312,14
2313,06
2328,36
2329,19
2312,65
2312,21
2309,86
2313,59
2319,15
2316,32
2314,17
2312,94
2297,61
2277,05
2259,41
2202,80
2060,02
1894,73
1851,99
1980,99
2144,49
2249,73
2278,82
2313,98
2326,01
2312,76
2318,73
2345,36
2354,75
2372,04
2371,69
2365,47
2379,35
2377,67
2379,15
2368,22
2373,48
2326,91
2358,84
2362,09
2322,02
2371,71
2337,76
2351,32
2372,38
2374,91
2369,01
2372,89
2357,65
2348,90
2356,77
2281,92
2272,93
2251,64
2253,91
2252,95
2261,32
2083,62
2297,60
2356,58
2362,74
2353,08
2345,03
1940,26
1892,62
1888,40
1905,26
1888,54
2288,81
2324,28
2306,51
2343,16
2351,67
2349,02
2334,43
2323,19
2248,11
2264,88
2281,88
2283,56
2274,09
2286,13
2310,61
2321,14
2311,78
2315,00
2315,81
2318,09
2315,99
2316,82
2310,49
2309,86
2328,40
2345,52
2342,20
2339,99
2225,97
1902,71
1543,52
1322,25
1020,53
851,80
879,81
1023,27
967,62
874,03
850,35
802,93
849,27
808,50
961,21
984,21
1142,61
1414,70
1531,04
1684,20
1989,70
2261,45
2307,80
2325,87
2357,15
2368,35
2359,65
2368,41
2366,56
2365,69
2379,98
2384,28
2381,19
2372,66
2372,68
2364,30
2373,82
2362,35
2348,42
2349,57
2363,16
2358,76
2337,77
2314,97
2222,77
2275,47
2198,11
2073,39
2029,75
1729,30
1727,45
1664,73
1559,50
1671,22
1795,41
1862,32
1815,90
1806,76
1775,22
1813,83
1756,28
1744,70
1780,10
1661,68
1442,42
1400,89
1424,91
1427,98
1408,62
1327,59
1380,13
1506,82
1709,18
1792,01
1788,89
1689,72
1725,08
1783,08
1916,78
2241,68
2334,16
2359,86
2345,31
2265,54
2283,58
2283,12
2262,88
2244,48
2237,09
2152,02
2189,77
2116,77
2040,09
1843,63
1582,80
1210,93
980,13
772,89
630,75
585,00
445,69
396,34
419,54
388,74
414,26
410,57
435,39
361,74
273,22
322,61
230,62
182,49
206,91
344,58
423,89
626,52
868,57
1096,56
1089,44
966,82
1043,65
1203,12
1306,00
1716,51
1812,61
1936,90
2120,83
2282,83
2304,96
2180,04
2308,88
2262,09
2201,67
2208,22
2362,51
2400,78
2282,50
2332,37
2259,42
2187,14
2143,09
2281,89
2223,99
1901,50
1945,09
1903,04
2213,68
2337,30
2382,16
2390,61
2472,64
2459,82
2472,17
2482,66
2483,27
2487,44
2489,64
2481,53
2495,13
2500,39
2494,06
2489,53
2453,35
2469,87
2476,81
2446,87
2466,52
2480,10
2488,56
2500,87
2487,52
2486,13
2481,24
2488,81
2482,44
2485,00
2444,71
2366,07
2220,48
2093,05
2226,62
2349,07
2242,81
2359,27
2373,21
2216,30
2037,77
2111,63
2155,81
2218,56
2277,05
2372,00
2390,71
2439,74
2468,72
2467,54
2474,66
2484,30
2494,42
2498,50
2494,80
2490,99
2491,88
2494,53
2497,45
2493,84
2457,27
2437,16
2401,36
2405,71
2311,85
2321,46
2318,13
2393,77
2431,19
2352,38
2324,61
2342,19
2399,32
2321,05
2321,80
2338,55
2440,56
2444,20
2380,70
2415,83
2331,66
2414,12
2369,17
2433,66
2459,32
2462,59
2264,92
2048,58
1616,95
1519,21
1523,45
2057,46
2402,05
2425,93
2404,87
2406,29
2424,36
2415,56
2453,31
2456,90
2465,15
2453,61
2376,28
2415,92
2443,36
2447,63
2420,91
2402,92
2396,49
2337,55
2319,41
2326,22
2296,73
2311,88
1944,43
1576,38
1373,79
1218,54
1126,39
1569,49
1990,98
1826,34
1455,52
1474,66
1407,38
1389,09
1368,23
1470,01
1752,22
1966,61
2004,55
2020,57
2044,17
2068,47
2124,35
2127,58
2246,90
2322,18
2361,60
2361,06
2355,68
2272,04
2183,79
2096,86
2122,41
2294,32
2303,55
2279,20
2390,88
2331,61
2430,63
2446,57
2400,64
2333,11
2264,45
2305,53
2426,29
2422,40
2334,41
2148,22
2185,21
2229,84
2261,95
2182,88
2044,43
1878,85
1602,57
1608,99
1438,25
1207,70
1391,12
1194,95
1036,70
1041,28
1169,75
1187,47
1053,44
1063,71
1466,33
1550,83
1646,57
1949,30
2105,55
1826,79
1893,76
1920,64
1742,75
1622,41
1325,13
973,09
688,75
516,01
387,91
287,97
135,13
72,61
38,97
17,68
43,86
89,87
142,36
193,54
326,95
538,31
802,81
1218,17
1601,41
1938,93
2179,13
2392,49
2454,53
2470,07
2469,14
2468,22
2461,74
2464,66
2435,09
2438,41
2428,09
2423,80
2429,56
2415,40
2387,20
2398,93
2383,92
2359,61
2320,72
2293,80
2281,78
2320,46
2158,42
2271,57
2326,70
2313,83
2325,16
2397,79
2438,68
2433,69
2379,22
2364,83
2360,74
2347,79
2373,79
2388,53
2380,33
2365,13
2330,96
2376,33
2387,57
2340,94
2398,36
2398,89
2388,65
2389,09
2390,59
2394,19
2371,76
2366,29
2325,05
2344,63
2401,25
2400,28
2413,97
2417,89
2374,55
2373,99
2370,12
2370,37
2378,99
2345,23
2336,02
2293,28
2227,71
2099,63
1933,64
1822,11
1776,96
